bibcode,journal,title,year,volume,doi,obj
b'2010AJ....140.1078D',b'AJ',"b'EMCCD speckle interferometry with the 6 M telescope: astrometric  measurements, differential photometry, and orbits.'",2010,140,b'10.1088/0004-6256/140/4/1078',tyc 4173-609-1
b'2010A&A...515A.111S',b'A&A',b'The PASTEL catalogue of stellar parameters.',2010,515,b'10.1051/0004-6361/201014247',tyc 4173-609-1
b'2009AJ....138..813H',b'AJ',b'Speckle interferometry at mount wilson observatory: observations obtained  in 2006-2007 and 35 new orbits.',2009,138,b'10.1088/0004-6256/138/3/813',tyc 4173-609-1
b'2007A&A...463..671R',b'A&A',b'Rotational velocities of A-type stars. III. Velocity distributions.',2007,463,b'10.1051/0004-6361:20065224',tyc 4173-609-1
b'2006A&A...450..735M',b'A&A',b'Effective temperature scale and bolometric corrections from 2MASS photometry.',2006,450,b'10.1051/0004-6361:20054021',tyc 4173-609-1
b'2005ApJ...629..507A',b'ApJ',b'Observed orbital eccentricities.',2005,629,b'10.1086/431207',tyc 4173-609-1
b'2004ApJ...616..562A',b'ApJ',b'Tidal effects in binaries of various periods.',2004,616,b'10.1086/423795',tyc 4173-609-1
b'2002A&A...393..897R',b'A&A',b'Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.',2002,393,b'10.1051/0004-6361:20020943',tyc 4173-609-1
b'2000AJ....119.3084H',b'AJ',"b'ICCD speckle observations of binary stars. XXIII. Measurements during 1982-1997 from six telescopes, with 14 new orbits.'",2000,119,b'10.1086/301402',tyc 4173-609-1
b'1998A&AS..129..431H',b'A&AS',b'uvby{beta} photoelectric photometric catalogue.',1998,129,b'10.1051/aas:1998195',tyc 4173-609-1
b'1997AJ....114.1623F',b'AJ',b'ICCD speckle observations of binary stars. XVI. Measurements during 1982-1989 from the Perkins 1.8-m telescope.',1997,114,b'10.1086/118593',tyc 4173-609-1
b'1997AJ....114.1639H',b'AJ',b'ICCD speckle observations of binary stars. XVII. Measurements during 1993-1995 from the Mount Wilson 2.5-m telescope.',1997,114,b'10.1086/118594',tyc 4173-609-1
b'1995ApJS...99..135A',b'ApJS',b'The relation between rotational velocities and spectral peculiarities among A-type stars.',1995,99,b'10.1086/192182',tyc 4173-609-1
b'1995PASP..107.1034S',b'PASP',b'The X-ray emission of A-type stars.',1995,107,b'10.1086/133659',tyc 4173-609-1
b'1995A&AS..114..269D',b'A&AS',b'Vitesses radiales. Catalogue WEB: Wilson Evans Batten. Radial velocities: The Wilson-Evans-Batten catalogue.',1995,114,b'',tyc 4173-609-1
b'1993PASP..105...36S',b'PASP',b'All-sky Stromgren photometry of Speckle binary stars.',1993,105,b'10.1086/133123',tyc 4173-609-1
b'1993AJ....106.1639M',b'AJ',b'ICCD speckle observations of binary stars. X. A further survey for duplicity among the bright stars.',1993,106,b'10.1086/116753',tyc 4173-609-1
b'1991A&AS...89..415O',b'A&AS',b'UBV photometry of stars whose positions are accurately known. VI.',1991,89,b'',tyc 4173-609-1
b'1990AJ.....99..965M',b'AJ',b'ICCD speckle observations of binary stars. V. Measurements during 1988-1989 from the Kitt Peak and the Cerro Tololo 4m telescopes.',1990,99,b'10.1086/115387',tyc 4173-609-1
b'1989AJ.....97..510M',b'AJ',b'ICCD speckle observations of binary stars. IV. Measurements during 1986-1988 from the Kitt Peak 4m telescope.',1989,97,b'10.1086/115001',tyc 4173-609-1
b'1980A&A....85...93M',b'A&A',b'Prediction of spectral classification from photometric observations -application to the uvby beta photometry and the MK spectral classification. II. General case.',1980,85,b'',tyc 4173-609-1
b'1972AN....294....1J',b'AN',b'Uber die veranderlichkeit der sterne des spektraltyps A.',1972,294,b'10.1002/asna.19722940102',tyc 4173-609-1
b'1972A&A....18..428D',b'A&A',b'Rotation of evolving A and F stars.',1972,18,b'',tyc 4173-609-1
b'1966AJ.....71..709C',b'AJ',b'Photoelectric H-beta photometry for 1217 stars brighter than V= 6.5 mag.',1966,71,b'10.1086/110176',tyc 4173-609-1
b'2015A&A...580A..23P',b'A&A',b'A new catalogue of Stroemgren-Crawford uvby{beta} photometry.',2015,580,b'10.1051/0004-6361/201526413',tyc 3471-233-1
b'2015ApJ...804..146D',b'ApJ',"b'The ages of early-type stars: Stromgren photometric methods calibrated, validated, tested, and applied to hosts and prospective hosts of directly imaged exoplanets.'",2015,804,b'10.1088/0004-637X/804/2/146',tyc 3471-233-1
b'2015ApJS..216...33F',b'ApJS',b'Probing the Local Bubble with diffuse interstellar bands. III. The northern hemisphere data and catalog.',2015,216,b'10.1088/0067-0049/216/2/33',tyc 3471-233-1
b'2014A&A...562A..65S',b'A&A',b'Spectrophotometric analysis of the 5200 {AA} region for peculiar and normal stars.',2014,562,b'10.1051/0004-6361/201322300',tyc 3471-233-1
b'2013ApJS..208...29W',b'ApJS',b'Bright 22 {mu}m excess candidates from the wise all-sky catalog and the  Hipparcos main catalog.',2013,208,b'10.1088/0067-0049/208/2/29',tyc 3471-233-1
b'2012AJ....143...28F',b'AJ',b'High ionization species in the nearby interstellar medium from an  exhaustive analysis of the IUE INES database.',2012,143,b'10.1088/0004-6256/143/2/28',tyc 3471-233-1
b'2012AstL...38..694G',b'AstL',b'Spatial distribution and kinematics of OB stars.',2012,38,b'10.1134/S1063773712110035',tyc 3471-233-1
b'2012A&A...537A.120Z',b'A&A',b'Rotational velocities of A-type stars. IV. Evolution of rotational  velocities.',2012,537,b'10.1051/0004-6361/201117691',tyc 3471-233-1
b'2012ApJS..199....8G',b'ApJS',b'A compilation of interstellar column densities.',2012,199,b'10.1088/0067-0049/199/1/8',tyc 3471-233-1
b'2012A&A...546A..61D',b'A&A',b'Radial velocities for the HIPPARCOS-Gaia Hundred-Thousand-Proper-Motion  project.',2012,546,b'10.1051/0004-6361/201219219',tyc 3471-233-1
b'2012MNRAS.427..343M',b'MNRAS',b'Fundamental parameters and infrared excesses of Hipparcos stars.',2012,427,b'10.1111/j.1365-2966.2012.21873.x',tyc 3471-233-1
b'2011SerAJ.182...35D',b'SerAJ',b'Corrected {mu}delta for stars of Hipparcos catalogue from independent latitude observations over many decades.',2011,182,b'10.2298/SAJ1182035D',tyc 3471-233-1
b'2010A&A...510A..54W',b'A&A',b'New 3D gas density maps of NaI and CaII interstellar absorption within  300 pc.',2010,510,b'10.1051/0004-6361/200913202',tyc 3471-233-1
b'2009A&A...498..961R',b'A&A',"b'Catalogue of Ap, HgMn and Am stars.'",2009,498,b'10.1051/0004-6361/200810788',tyc 3471-233-1
b'2007A&A...464..377F',b'A&A',b'Proper-motion binaries in the Hipparcos catalogue. Comparison with radial velocity data.',2007,464,b'10.1051/0004-6361:20065526',tyc 3471-233-1
b'2007A&A...463..671R',b'A&A',b'Rotational velocities of A-type stars. III. Velocity distributions.',2007,463,b'10.1051/0004-6361:20065224',tyc 3471-233-1
b'2006AstL...32..759G',b'AstL',b'Pulkovo compilation of radial velocities for 35495 stars in a common system.',2006,32,b'10.1134/S1063773706110065',tyc 3471-233-1
b'2005AJ....129.2420M',b'AJ',b'Statistical constraints for astrometric binaries with nonlinear motion.',2005,129,b'10.1086/429590',tyc 3471-233-1
b'2005NewA...10..237Z',b'NewA',b'Some implications of the introduction of scattered starlight in the spectrum of reddened stars.',2005,10,b'10.1016/j.newast.2004.10.004',tyc 3471-233-1
b'2003A&A...411..447L',b'A&A',b'3D mapping of the dense interstellar gas around the Local Bubble.',2003,411,b'10.1051/0004-6361:20031214',tyc 3471-233-1
b'2002A&A...392.1031A',b'A&A',b'On the effective temperatures and surface gravities of superficially normal main sequence band B and A stars.',2002,392,b'10.1051/0004-6361:20020889',tyc 3471-233-1
b'2002A&A...393..897R',b'A&A',b'Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.',2002,393,b'10.1051/0004-6361:20020943',tyc 3471-233-1
b'1999AJ....117.1890M',b'AJ',b'Speckle interferometry of new and problem Hipparcos binaries.',1999,117,b'10.1086/300823',tyc 3471-233-1
